MainTitle,Type,Genre,Weighted_Score,Themes,Summary
Crest of the Stars,TV,"['adventure', 'drama', 'romance', 'science fiction']",7.9736,"['military', 'space', 'space navy', 'war']","Jinto Lin is a young nobleman, whose world was taken over by the largest empire in the galaxy: the Abh Empire. Jinto's father, the president of his home planet, handed their world over to the Abh in exchange for a standing in the Abh Empire. As a result, Jinto became a member of the aristocracy and was shipped off for an Abh education. On his way, he meets a princess of the Abh Empire, Lafiel, whom he quickly befriends despite her cold exterior. But the Abh empire is plunged into war…"
Detonator Orgun,OAV,"['action', 'science fiction']",6.261,['mecha'],"Fleeing from his own race, Orgun—an alien being with superhuman abilities and unearthly weapons—travels to Earth to find an answer to his origin. There, he bonds with a young man named Tomoru to defend Earth against the Evoluders, who seek nothing but destruction of other civilizations."
El Hazard - The Magnificent World,OAV,"['adventure', 'comedy', 'fantasy', 'romance']",7.5557,"['other world', 'priests and priestesses', 'yuri']","When Makoto Mizuhara discovers an old monument in his school and awakens a beautiful woman, he, his teacher, his worst enemy and one of his female friends is transported to the magnificent world of El Hazard. There they discovers that they have received some special powers. Makoto and his teacher Fujisawa lands in a jungle and saves a princess from some large bugs. Makotos friend Nanami lands in a desert. And Makotos rival, Jinnai lands in the middle of the bug’s kingdom and becomes their general, plotting to destroy Makoto and his new friends. After several having his attacks repelled by Makoto several times, Jinnai learns about an ultimate weapon, the demon Ifurita. And so everyone sets of to find Ifurita, and when she's found Makoto learns that she is the same woman that sent them to El Hazard. But the one gaining control of her is Jinnai."
Fencer of Minerva,OAV,"['erotica', 'fantasy']",5.5805,No Theme Found,"Princess Diana runs away from an arranged marraige and straight into the arms of slave traders who capture her and she is forced to become a slave. She finds her long lost childhood friend/love there, who happens to be the sworn enemy of her families throne, and becomes his, but of course with the family wanting her back all is not ideal."
Garaga,movie,"['adventure', 'science fiction']",4.6795,No Theme Found,"The year is 2755. As a result of a system malfunction, the cargo ship <i>XeBeC</i> goes off-course in a warp gate and ends up within the orbit of the distant planet Garaga. After crashing on Garaga's surface, the crew must find ways to survive from hideous monsters, rabid ape soldiers, and a race of mysterious psychics."
Getter Robo,TV,"['action', 'science fiction']",6.4435,"['mecha', 'monsters', 'super robot']","From deep within the Earth's surface, the Dinosaur Kingdom make their move to wipe out mankind and conquer the planet with their mechanical dinosaurs. After a prototype Getter Robo is shot down by a mechanical dinosaur, the Saotome Research Institute decides to use the real Getter Robo, which is combat-capable. Due to a lack of pilots in the institute, Ryo Nagare goes to his college to persuade martial artist Musashi Tomoe and outcast Hayato Jin to join him and pilot the Getter Machines to combat the new threat and protect mankind."
Getter Robo: Armageddon,OAV,"['action', 'adventure', 'horror', 'psychological', 'science fiction']",7.3013,"['aliens', 'mecha', 'super robot']","Sent to jail after being accused of murdering Getter Robo creator Dr. Saotome, Ryoma Nagare must once again team up with his former comrades and pilot Getter Robo when Saotome returns from the dead and threatens humanity by unleashing his greatest creation - the Shin Dragon. Their efforts, however, are in vain as they fail to stop a nuclear warhead from hitting Shin Dragon, resulting in a massive Getter Ray contamination that wipes out 99% of the planet's population. Thirteen years after this great catastrophe, mankind continues to fight for survival against the Invaders. Out of the remains of the nuclear blast comes Shin Getter, piloted by the artificial human Go. With remnants of the Japanese military by his side, Go - along with co-pilots Kei and Gai - must use Shin Getter to exterminate the Invaders once and for all."
Mobile Suit Gundam 0080: War in the Pocket,OAV,"['action', 'drama', 'science fiction', 'slice of life']",7.5671,"['mecha', 'military', 'real robot', 'tragedy', 'war']","In the final days of the One Year War, a Zeon special forces group infiltrates a colony to gather information on a new Gundam unit. Alfred Izuruha, a 10-year-old student, befriends Zeon rookie pilot Bernie Wiseman during a brief mobile suit combat. Meanwhile, Al meets up with Christina MacKenzie, his former neighbor and babysitter. Little does he know that not only is Christina a member of the Earth Federation, she's the test pilot of the new Gundam NT-4 prototype."
Mobile Suit Gundam 0083: Stardust Memory,OAV,"['action', 'drama', 'science fiction']",7.3666,"['mecha', 'military', 'real robot', 'space', 'space navy', 'war']","U.C. 0083: Three years after the end of the catastrophic One Year War, peace on Earth and the colonies is shattered by the presence of the Delaz Fleet, a rogue Zeon military group loyal to the ideals of the late dictator Gihren Zabi. Delaz Fleet's ace pilot Anavel Gato, once hailed as ""The Nightmare of Solomon"", infiltrates the Federation's Torrington base in Australia and steals the nuclear-armed Gundam GP02A ""Physalis"" prototype. Rookie pilot Kou Uraki—with the aid of Anaheim Electronics engineer Nina Purpleton and the crew of the carrier Albion—takes control of the Gundam GP01 ""Zephyranthes"" prototype in an attempt to recover the stolen Gundam unit and prevent another war from breaking out."
Mobile Suit Gundam: The 08th MS Team,OAV,"['action', 'drama', 'romance', 'science fiction']",7.8917,"['mecha', 'military', 'real robot', 'war']","U.C. 0079 - In the middle of the One Year War, Ensign Shiro Amada is transferred to South East Asia to command Kojima Batallion's 08th MS Team, a small army of soldiers piloting RX-79[G] Gundam Ground type units. During the skirmishes in the jungle, he confronts ace Zeon pilot Norris Packard and falls in love with Aina Sahalin, a pilot involved in testing Zeon's top-secret mobile armor. This relationship leads to the Federation doubting their trust in Shiro. Now Shiro must prove his loyalty in the battleground or die a traitor."
Mobile Suit Gundam Wing,TV,"['action', 'drama', 'science fiction']",7.4384,"['mecha', 'military', 'real robot', 'space', 'war']","It is the year After Colony 195, and war between the Space Colonies and Earth has begun. To give the colonies an edge, they send 5 young soldiers, trained to perfection, to earth in the most powerful of Mobile Suits-Gundams. With their arrival, the tide of the war changes as they battle against the Earth forces and the Colonies of their origin."
Hades Project Zeorymer,OAV,"['action', 'science fiction']",6.2402,['mecha'],"Tekkoryu (Hau Dragon) - a secret Chinese-based organization bent on world domination. After the rise of their new leader, Yuratei, the Tekkoryu come out of hiding and unleash the Hakkeshu - a band of giant robots with lethal weaponry and equally skilled pilots. Before their quest for domination, the Hakkeshu must recover one of their own mecha - Zeorymer of the Heavens, stolen from them 15 years ago by a turncoat member along with the frozen embryo of a genetically engineered pilot. Caught in the crossfire is Masato Akitsu, a teenager captured by a Japanese organization and forced to pilot Zeorymer. Teamed with a mysterious girl named Miku Himuro, Masato must use Zeorymer to battle each of the Hakkeshu's mecha; at the same time, he must figure out why he was chosen to pilot the mecha and why he is able to adapt to it so easily."
Hand Maid May,TV,"['comedy', 'romance', 'science fiction']",6.8634,"['fanservice', 'harem', 'maids', 'robot girl']","Saotome Kazuya is a computer whiz. One day his friend Nanbara, threatens him with a computer virus. Trying to stop the virus, Kazuya ends up making a special order. May is a cyberdoll that arrives at his door a few minutes later and she is 1/6th the size of a normal person, which makes for many awkward situations. Not to mention the fact Kazuya can't even afford to keep May. Cyberdyne is not satisfied with Kazuya's non-payments and will do anything to retrieve CBD May."
New Kimagure Orange Road: Summer's Beginning,movie,"['action', 'comedy', 'drama', 'romance']",7.7255,No Theme Found,"It's been several years and Kyosuke Kasuga is now 19. A mysterious phone call warns him of oncoming cars but he doesn't listen. Ironically, he gets hit by a car and because of his telepathic abilities, gets sent three years into the future. His 22 year old future self is now a photographer who is lost in Bosnia and believed to be dead. Kyosuke must find his 22 year old future self and restore himself, the 19 year old, to his correct time. Along the way he reunites with Hikaru who is now a professional and famous dancer. Madoka is also there, distraught over both Kyosuke, the 22 year old, going missing in Bosnia and Kyosuke, the 19 year old, getting hit by a car."
Kishin Corps,OAV,"['adventure', 'science fiction']",5.7738,"['historical', 'mecha', 'real robot']","Against the backdrop of World War II, humans are also fighting against alien invaders. The Nazis and the Kanto Army are trying to steal alien technology to gain an advantage. Using the same alien technology to power giant robots, the Kishin Corps try to keep the Axis powers and the aliens in check."
La Blue Girl EX,OAV,"['erotica', 'romance', 'supernatural']",6.136,No Theme Found,"Miko Mido has fallen in love for the first time. Too bad for her that she hasn't the time to pursue the man of her dreams: there is a mysterious female ghost which is attacking Miko's schoolmates and stealing their life-force, and someone has to investigate the case. However, it seems that the ominous phantom is willing to pursue Miko's love interest, too..."
Landlock,OAV,"['adventure', 'fantasy']",5.1744,No Theme Found,"The land of Zer’lue is in turmoil, ravaged by the technological might of Chairman Sana'ku and his evil, militaristic Zul’earth forces. In a rapidly unfolding story of treachery, deceit and betrayal, only one boy holds the power to defeat such overwhelming odds... a boy named Lue'der, who possesses a mysterious red eye and the ability to control the power of the wind itself. With the fate of the world at stake, Lue'der must learn to unlock his legendary power and battle against the evil which threatens to engulf his planet."
Magic Knight Rayearth,TV,"['adventure', 'fantasy']",6.9664,"['magical creatures', 'magical girl', 'monsters']","Three young girls, Hikaru, Umi, and Fuu, are transported to a magical world called Cephiro during a field trip to Tokyo Tower. They are soon greeted by Master Mage Clef, who explains to them that they have been summoned to become the Legendary Magic Knights and save Cephiro. The girls are less than enthusiastic about this idea, and only want to return home. Clef further explains that they must seek out the three Rune Gods to help them fight. He bestows armor and magical powers to each of them. They learn from Clef that High Priest Zagato has kidnapped the Pillar of Cephiro, Princess Emeraude. The Pillar of Cephiro has the sole responsibility of keeping Cephiro alive and in balance with her prayers. Without Princess Emeraude, Cephiro would fall into ruin. Hikaru, Umi, and Fuu must fight off Zagato's henchman and find the Rune Gods if they ever want to get back home. They soon learn that friendship and loyalty are the only things they can rely on in the crumbling Cephiro."
Chirorin Mura Monogatari,TV,[],6,No Theme Found,"Nutsberry Town is a beautiful small country town, surrounded by shimmering lakes, lush forests and green fields. It's a place where old-fashioned values still abound. It is here that our heroes, Snappy the Onion, Wendy the Walnut and Pee Wee the Peanut, a madcap trio known as the ""Kooky Kids"" play their mischievous games. Never mean-spirited or malicious, the Kooky Kids still manage to get into trouble in their non-stop quest for fun and adventure. And because Nutsberry Town is far from the hustle and bustle of video arcades, shopping malls or theme parks, the children find their fun amidst their beautiful surroundings and in their imagination."
Crush Gear Nitro,TV,"['action', 'adventure']",4.5391,No Theme Found,No summary found
Magic User's Club!,TV,"['comedy', 'drama', 'magic', 'romance']",6.825,['witches'],"The aliens have been defeated, and the Bell has been transformed into a gigantic cherry tree. Now, the brave Magic User's Club must reconvene to deal with a new problem. Apparently, some inconsiderate persons left a skyscraper sized cherry tree in the middle of Tokyo, and it's become a major inconvenience to everyone in the city. Even though they have no idea who could have done such a thing, the Club feels strangely responsible and springs into action. Meanwhile, a mysterious person is spying on the magic club in the form of a small boy."
Martian Successor Nadesico,TV,"['adventure', 'comedy', 'drama', 'science fiction']",7.6951,"['harem', 'mecha', 'military', 'parody', 'real robot', 'space']","Akito Tenkawa doesn't want to fight. Despite a childhood spent as a fan of the anime <i>Gekiganger 3</i>, a mecha show, he'd rather cook than pilot a mecha. Fate intervenes when his home on Mars is destroyed, and he is mysteriously transported in an instant to the Earth. He has questions no one can fully answer, but follows a girl from a chance meeting in the hope of discovering what has happened to him. The girl, Yurika Misumaru, is captain of the private battleship <i>Nadesico</i>, and in order to follow her, he enlists as the ship's cook. Possessing the nanite implants that allow him to control mecha, he's a handy backup pilot for the tactical mecha of the <i>Nadesico</i>, the Aestivalises. He joins a crew bent on avenging Mars and composed of misfits, otaku, and ditzes, but who are in reality handpicked experts. They take their own private war back to Mars to face the harsh reality that life may not always be like a giant mecha series."
Masquerade,OAV,"['comedy', 'erotica', 'mystery', 'supernatural']",7.3057,No Theme Found,"Masquerade is the story surrounding the Hiraga bloodline in which Gen is a part of. Recently orphaned, he moves in to his grandmother's house and unwittingly triggers the Hiraga clan's curse in which nearly every member leads a tragically short life. In his grandmother's house, Gen begins to unravel vaguely remembered memories from a dream he's always had. With the help of an American graduate student, they try to uncover the secret of the Hiraga bloodline, the whispered legend of immortality that is locked in his genes, and a way to keep Gen from sharing the same fate that every one of his ancestors before him has suffered."
Maze,TV,"['adventure', 'comedy', 'fantasy']",6.4443,"['fanservice', 'mecha', 'other world']","Maze wakes up in her house, everything is a wreck and she has amnesia. Before she can gather what has happened the girl Mill storms into her house thanking her for having saved her life. She tells Maze that her house suddenly fell down from the sky and crushed Mills pursuers under it. However before long they are both on the run from further pursuers who want their hands on princess Mill. They are only saved when Maze discovers that she has phantom light magical powers and can summon Mills family heirloom mecha. However her performance with the mecha is weak; that is until the sun goes down and she is turned in to a lecherous man. Soon other travellers join them as Maze tries to protect Mill and figure out what she is doing in this fantasy world."
Metal Fighter Miku,TV,"['comedy', 'science fiction', 'tournament']",5.7011,No Theme Found,"In the near future, the sports world is dominated by Neo Wrestling, a new spectacle in which Metal Fighters challenge each other to be named champion. The story follows the girls of the Pretty Four—Miku, Ginko, Sayaka, and Nana—as they face off against the current champions, Team Sapphire. With a burnt out drunk named Eiichi Suo for a coach the girls must not only contend with problems in the arena but also unforseen circumstances that arise in day to day life. Only through protecting their friends, understanding their enemies, and eventually challenging their idol Aquamarine, can Miku and the girls understand Eiichi's purpose and the shady secrets behind Neo Wrestling."
Mobile Suit Gundam,TV,"['action', 'drama', 'science fiction']",7.6093,"['mecha', 'military', 'real robot', 'war']","In the year Universial Century 0079, humanity lives in space colonies called Sides. Side 3, the Principality of Zeon, has declared war on the Earth Federation. After the intial fighting, an 8-month stalemate occured. However that stalemate breaks when Amuro Ray stumbles into the Gundam, the Earth Federation's secret weapon. Now Amuro and the crew of White Base must stand up to Zeon in order to end the war."
My My Mai,OAV,"['comedy', 'romance']",5.4361,['fanservice'],Mai runs a consulting business and is often times peoples last hope for help with their problems. She will use whatever means necessary to get her clients satisfaction.
Nadia - The Secret of Blue Water,TV,"['adventure', 'comedy', 'science fiction']",7.6161,No Theme Found,"In 1889, the world is on the pinnicle of great discoveries in technology. In mankinds grasp for the future, a sinister foe known only as Gargoyle, obsessed with restoring the former Atlantean empire to the glory it once held, begins his plans to take over the world. Nadia, with the help of a young inventor, Jean Ratlique, and Captain Nemo of the submarine Nautilus, must fight to save the world from Gargoyle and Neo-Atlantis. Based on the Novel '20,000 Leagues Under the Sea' by Jules Verne."
Neon Genesis Evangelion,TV,"['action', 'drama', 'psychological', 'science fiction']",8.2092,"['mecha', 'military', 'post-apocalyptic', 'super robot', 'tragedy']","At the age of 14 Shinji Ikari is summoned by his father to the city of Neo Tokyo-3 after several years of separation. There he unwillingly accepts the task of becoming the pilot of a giant robot by the name EVA01 and protect the world from the enigmatic invaders known as ""angels."" Even though he repeatedly questions why he has accepted this mission from his estranged and cold father, his doing so helps him to gradually accept himself. However, why exactly are the angels attacking and what are his father’s true intentions are yet to be unraveled."
NieA_7,TV,"['comedy', 'science fiction', 'slice of life']",7.0714,['aliens'],"In the 21st century, aliens have arrived on Earth and live among humans. In sleepy Enohana, the dirt-poor student Chigasaki Mayuko finds herself living together with NieA, a low-caste (""Under Seven"") alien. While Mayuko struggles diligently to make ends meet, NieA seems to be totally unconcerned with the consequences of her actions. As the odd couple throws off the expected sparks, the wrecked alien mothership looms in the background..."
Night on the Galactic Railroad,movie,"['drama', 'fantasy']",7.5587,No Theme Found,"On the night of a festival, Giovanni embarks on a train that takes him across the Milky Way. Joining him in this trip is his friend Campanella. Together they meet peculiar passengers as they travel to an uncertain destination."
Nightwalker: The Midnight Detective,TV,"['comedy', 'horror', 'mystery', 'supernatural']",6.7775,"['demons', 'police', 'vampires']","Shido Tatsuhiko is not only a private eye…he is also a vampire with no real memory of his past. Joined by Yayoi Matsunaga, a female government agent, Riho Yamazaki, an orphaned teenage girl working as his secretary, and Guni, a little green imp, Shido must face demonic creatures known as Nightbreed. Meanwhile, Cain, the vampire who made him what he is now, is seeking him…"
Oh My Goddess!,OAV,"['comedy', 'drama', 'magic', 'romance']",7.5035,"['Bishojo', 'goddesses']","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in."
Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley,TV,"['comedy', 'slice of life']",6.5607,No Theme Found,"Mr. Stain, an artist/inventor, and his cat friend, Palvan, have numerous adventures concerning art supplies and junk found in Junk Alley."
High School Mystery: Gakuen Nanafushigi,TV,[],0,No Theme Found,No summary found
ONE ~Kagayaku Kisetsu e~,OAV,"['drama', 'romance']",4.3298,No Theme Found,"Orihara Kouhei returns to his town after a long disappearance to fullfil the promises he made to several girls in his childhood. He suffered from memory loss, and carries a tragic past. An strange ambient sorrounds the OVA...It's almost like a dream, like memories from the past trying to come toghether in one piece but without being able to..."
Dirty Pair,TV,"['action', 'comedy', 'science fiction']",7.0747,"['future', 'girls with guns', 'space']","The semi-coherent story of a pair of teenage intergalactic private eyes, Kei and Yuri. Their code name is ""Lovely Angels"", but they're better known—universe-wide, in fact—as the ""Dirty Pair"". Their arrival at the scene of a mystery is always a source of hope and dread, since: 1) they always solve the case, 2) wherever they go, something gets horribly wrecked, up to and including entire planets. Lucky for them—but not-so-lucky for the rest of the universe—there are always some sort of extenuating circumstances that support their most often-used phrase, ""It's not our fault""."
Orphen,TV,"['adventure', 'comedy', 'fantasy']",6.7641,No Theme Found,"Orphen is the greatest sorcerer that the tower has ever seen but he is more interested in chasing the Bloody August, an infamous and very mysterious dragon. Along with his apprentice Majic and their companion Clio he heads off on a quest with the Sword of Baltanders, the only thing that can free the Bloody August or 'Azile' from the spell she is under."
Patlabor the Mobile Police,TV,"['action', 'comedy', 'science fiction']",7.4383,"['mecha', 'police', 'real robot']","In the future, advanced robotics has created heavy robots (""labors"") for use in a variety of functions: construction, fire-fighting, military, and more. However, though the robots are only machines, their operators are also only human—and humans sometimes turn to crime. Since a heavy labor unit can be a dangerous weapon, the police of the future are set to fight fire with fire, using advanced patrol labor units, ""patlabors"". This is the story of the Second Special Vehicles Division, a motley crew of patlabor policemen and -women doing their best to fight crime and live a normal life."
Ping Pong Club,TV,"['comedy', 'slice of life']",7.0211,['sports'],"Inaho Jr. High's Boys Ping Pong Club has only 6 members, the club minimum. Takeda is your average nice guy. Kinoshita is good looking and popular with girls. Unfortunately, the rest are branded as losers. Tanabe is too foreign, while Tanaka is petite and perverse. Maena and Izawa are truly deviant, and their crazed antics have earned the team some powerful enemies. In spite of their differences, the team needs to work together to retain their practice room and club status."
Project A-ko,movie,"['action', 'comedy', 'science fiction']",6.9578,"['mecha', 'parody', 'school', 'superpowers']","Sixteen years have passed since a mysterious alien ship crashed on Earth. Graviton City, once leveled by the ship's crash, is now a bustling metropolis. Within the city's high school, superhuman high school student A-Ko Magami dukes it out with the diabolical genius B-Ko Daitokuji, who will stop at nothing to win the friendship of A-Ko's buddy C-Ko Kotobuki. Meanwhile, in outer space, another alien ship is on course towards Earth to find its planet's lost princess."
Puppet Princess,OAV,"['adventure', 'fantasy', 'horror', 'supernatural']",6.6068,"['historical', 'ninja']","Princess Rangiku lost her entire family to Lord Karimata, who invaded her home seeking her father’s life work, puppets with unique capabilities. As her duty, Rangiku sets out with three of her father’s greatest puppet warriors to seek revenge. She can manipulate these to battle the strongest of warriors, however manipulating the puppets leaves her own self vulnerable to direct attacks, so she seeks a ninja warrior named Manajiri to aid and protect her in her quest."
Hitotsuboshi-ke no Ultra Baa-san,TV,['comedy'],0,No Theme Found,No summary found
Ranma ½,TV,"['action', 'comedy', 'romance', 'supernatural']",7.5382,"['fanservice', 'gender switch', 'harem', 'martial arts', 'tsundere']","Saotome Ranma, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns in to a girl, and a cute, well-built red-head at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Tendo Akane, a girl who hates boys."
Hoka Hoka Kazoku,TV,['comedy'],0,No Theme Found,No summary found
Wrestler Gundan Ginga-hen Seisenshi Robin Jr.,TV,[],0,No Theme Found,No summary found
Hyōga Senshi Gaislugger,TV,[],7,No Theme Found,No summary found
RG Veda,OAV,"['adventure', 'drama', 'fantasy']",5.6747,['mythology'],"At the dawn of time, the gods ruled the universe under the leadership of the mighty Tentei. But suddenly, the ferocious general, Taishakuten, appears, and destroys Tentei. Taishakuten declares that a new age has begun, and all who oppose him will die horribly. But legend says that a shimmering six-pointed star will rise into the heavens and restore the world to a golden age. The six points are six warriors, each with the power to move the stars and the hearts of all people..."
Munto,OAV,"['drama', 'fantasy']",6.4306,['gods'],"Akuto, the main source of energy is running low and the Heavens, a world of islands, hidden beyond time, floating above ours, has united against the Magical Kingdom whom uses the most energy. To save both the Magical Kingdom and the Heavens and restore the flow of akuto, the Magical King Munto must follow a vision and find the girl Yumemi in the lower world. Yumemi herself is just a normal girl except that she is the only one who can see the islands of the Heavens floating above. When Munto appears before her she starts thinking about hers and others responsibility to the world."
E's Otherwise,TV,"['action', 'drama', 'science fiction', 'supernatural']",6.2621,"['espers', 'military', 'superpowers']","Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization."
Rurouni Kenshin,TV,"['action', 'comedy', 'drama']",8.2473,"['conspiracy', 'historical', 'martial arts', 'politics', 'samurai', 'swordplay']","Himura Kenshin is a vagabond with a dark past and sunny disposition. Not a ronin but a rurouni, he was never a samurai, but an assassin of utmost skill in the Meiji restoration, who in the turning point of the war simply walked away. His travels lead him to Tokyo in the 11th year of the Meiji era, where he befriends a female Kendo master, a former thief, a brawler and a doctor all with their own secrets. Together they fight off the enemies surfacing from the dark past that Kenshin cannot escape."
Stellvia,TV,"['adventure', 'comedy', 'drama', 'science fiction']",7.616,"['school life', 'space']","The year is 2356 A.D. - 189 years after a distant supernova caused a global catastrophe that wiped out 99% of the world population. To keep track on all space activities, mankind has built colossal space stations called ""foundations"" all over the Solar System. After passing the Space Academy entrance exams, Shima Katase embarks to the Earth-based foundation <i>Stellvia</i> to fulfill her dream of seeing the galaxy and to prevent another interstellar catastrophe from destroying Earth."
Mythical Detective Loki Ragnarok,TV,"['adventure', 'comedy', 'mystery', 'supernatural']",6.9649,"['detective', 'gods']","Loki, the Norse god of mischief, has been exiled to the human world for what was apparently was a bad joke. Along with being exiled, he’s forced to take the form of a child. He’s told the only way he can get back to the world of the gods is if he can collect auras of evil that take over human hearts, and so to do this he runs a detective agency. Loki is soon joined by a human girl named Mayura who is a maniac for mysteries, and she soon helps out in her own way. However, soon other Norse gods begin to appear, and most have the intent to assassinate Loki for reasons unclear."
Saber Marionette J,TV,"['adventure', 'comedy', 'romance', 'science fiction']",7.2273,"['harem', 'robot girl']","In a world of only males, they have created female looking marionettes (androids). A handful of them have been given special 'hearts' called maiden circuits that give them emotion and human personality. Three of these are found by Otaru, and they soon are caught up in a war against Lord Faust and his 3 'human' marionettes."
Saber Marionette R,OAV,"['comedy', 'science fiction']",6.2808,['robot girl'],"Jr., the heir of Romana and his battle sabers Cherry and Lime, who have girl circuits are enjoying their peaceful life in Romana. Suddenly, the evil Star-Face and his sexadolls attack Romana in order to take over so Star-Face can become the next High Official. In order to truly become the next High Official and ruler of Romana, he must first eliminate Jr. This begins a battle for, not only Jr.'s life, but for all of Romana."
Sailor Moon S,TV,"['action', 'drama', 'magic', 'romance']",7.5242,"['bishoujo', 'magical girl', 'sentai']","Sailor Moon and the senshi are up against a new set of villains: the Death Busters (Professor Tomoe, Kaorinite, the Witches 5, Mistress 9, Pharaoh 90). The Death Busters plan to rule the world by using the energy from the pure heart crystals of innocent victims, but Sailor Moon and the senshi must stop them. The outer senshi (Neptune, Uranus, Pluto, Saturn), also make an appearance, although Pluto appeared briefly in Sailor Moon R."
